,Date.of.Finan..cial.Period.Before.Offer,Issue.Date,Issuer,Business.Description,Nation,Ticker.Symbol,Principal.Amount....mil.,Proceeds,Offer.Price,Type.of.Security,IPO.Flag..Y.N.,Notable.VC,Investment.Bank..Lead.Left.,Additional.Lead.Underwriters,Total.VC.Funding.Raised,Age.of.Firm,Total.Revenues.in.Previous.Year,Total.Revenues.Last.Reported,Selling.and.Marketing,Total.Operating.Expenses,Net.Income,Net.Income.Margin,Long.Term.Debt,Total.Assets,Long.Term.Debt.to.Total.Asset.Ratio,market_performance,VIX_before,OneDayChange,FirstDayClose
32,12/31/11,2/9/12,Synacor Inc,Dvlp Internet software,United States,SYNC,34.09,34.10,5.00,Common Shares,Yes,"Rand Capital Corp
Rand Capital Corp
Undisclosed Firm
Undisclosed Firm
Walden International
Crystal Ventures
Garage Technology Ventures LLC
Redwood Venture Partners
Proseed Capital Hldg
Heller Ehrman LLP
Mitsui & Co. Global Investment, Ltd.
Advantage Capital Partners
Intel Capital Corp
Intel Capital Corp
Advantage Capital Partners
Crystal Ventures
Rand Capital Corp
Advantage Capital Partners
Intel Capital Corp
Tech Ventures  Inc
Crystal Ventures
Crystal Ventures
Walden International
Crystal Ventures
North Atlantic Capital Corp
Intel Capital Corp
Mitsui & Co. Global Investment, Ltd.
Walden International
Walden International
Walden International
Crystal Ventures
Walden International
North Atlantic Capital Corp
Rand Capital Corp
Undisclosed Firm
Intel Capital Corp
Rand Capital Corp
Pliant Corp
Undisclosed Firm
Undisclosed Firm",Bank of America,2,54030.30,NA,60.798,66.23,6.21,69.57,-3.59,-0.054205043,0,40.80,0.00%,0.048245921,18.629999,0.244,6.22
33,12/31/11,2/23/12,Proto Labs Inc,Mnfr prototype plastic parts,United States,PRLB,68.80,68.80,16.00,Common Shares,Yes,"Undisclosed Firm
Undisclosed Firm
North Bridge Venture Partners LP",Morgan Stanley,1,69740.00,NA,64.919,98.94,15.75,32.75,17.97,0.181625227,0.61,62.30,0.98%,0.039327535,16.799999,0.8125,29
34,12/31/11,3/28/12,CafePress Inc,"Own,op e-commerce platform",United States,PRSS,85.50,85.50,19.00,Common Shares,Yes,"Institutional Venture Partners
Undisclosed Firm
PacRim Venture Partners
Staenberg Venture Partners
New Millennium Partners L P
Undisclosed Firm
PacRim Venture Partners
Undisclosed Firm
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC",JP Morgan,2,23800.10,NA,103.493,127.93,26.46,51.18,2.72,0.021261627,0.05,86.90,0.06%,0.024132378,15.47,0.17,22.23
35,3/31/12,4/19/12,Proofpoint Inc,Dvlp email sec software,United States,PFPT,82.28,82.30,13.00,Common Shares,Yes,"Leland Stanford Junior University
Bridgescale Partners LP
Benchmark Capital
Undisclosed Firm
Meritech Capital Partners
Mohr Davidow Ventures
Rre Ventures LLC
Icon Ventures
Duff Ackerman & Goodrich LLC
Benchmark Capital
Bridgescale Partners LP
Undisclosed Firm
Icon Ventures
Meritech Capital Partners
Mohr Davidow Ventures
Rre Ventures LLC
Benchmark Capital
Benchmark Capital
Benchmark Capital
Benchmark Capital
Mohr Davidow Ventures
Mohr Davidow Ventures
Mohr Davidow Ventures
Mohr Davidow Ventures
Meritech Capital Partners
Meritech Capital Partners
Meritech Capital Partners
Benchmark Capital
Rre Ventures LLC
Mohr Davidow Ventures
Leland Stanford Junior University
Undisclosed Firm
Icon Ventures
Icon Ventures
Rre Ventures LLC
Rre Ventures LLC
Redwood Partners Ltd
Rre Ventures LLC
Lighthouse Capital Partners  LP",Credit Suisse,1,102492.30,NA,64.79,81.84,42.68,71.69,-20.14,-0.246089932,4.53,64.70,7.00%,-0.019367708,18.360001,0.083076923,14.08
36,3/31/12,5/17/12,Facebook Inc,Internet Service Providers,United States,FB,16006.88,16006.90,38.00,Class A Shares,Yes,"Greylock Partners LLC
Hercules Capital Inc
Undisclosed Firm
Accel Partners & Co Inc
Goldman Sachs & Co LLC
Kleiner Perkins
Microsoft Corp
Elevation Partners LP
Elevation Partners LP
Global Founders Capital Management GmbH
Meritech Capital Partners
Undisclosed Firm
Millennium TVP Management Co LLC
Millennium TVP Management Co LLC
Band of Angles LLC
Mail.Ru Group Ltd
Mail.Ru Group Ltd
Meritech Capital Partners
TriplePoint Capital LLC
Founders Fund, The
Andreessen Horowitz LLC
Undisclosed Firm
Undisclosed Firm
Technology Crossover Ventures LP
Andreessen Horowitz LLC
Mail.Ru Group Ltd
Technology Crossover Ventures LP
Technology Crossover Ventures LP
Greylock Partners LLC
Accel Partners & Co Inc
Founders Fund, The",Morgan Stanley,2,2181308.00,NA,1974,3711,427,1955,1000,0.269469146,0,6859.00,0.00%,-0.059102681,24.49,0.006052632,38.23
37,4/30/12,7/19/12,Palo Alto Networks Inc,Computer Systems Design Services,United States,PANW,260.40,260.40,42.00,Common Shares,Yes,"Warner Media, LLC.
General Catalyst Partners LLC
Oak Investment Partners
Institutional Venture Partners
General Catalyst Partners LLC
General Catalyst Partners LLC
General Catalyst Partners LLC
General Catalyst Partners LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Trident Capital
Norwest Venture Partners
Oak Investment Partners
Lehman Brothers Venture Partners LP
General Catalyst Partners LLC
Accel Partners & Co Inc
General Catalyst Partners LLC
Sequoia Capital Operations LLC
General Catalyst Partners LLC
General Catalyst Partners LLC
Sequoia Capital Operations LLC
Accel Partners & Co Inc",Morgan Stanley,2,228422.00,NA,48.782,118.6,62.25,96.73,-12.53,-0.105649241,0,166.50,0.00%,0.014959462,15.45,0.265000024,53.130001
38,6/30/12,7/19/12,KAYAK Software Corp,Pvd online travel info svc,United States,KYAK,91.00,91.00,26.00,Class A Shares,Yes,"Lehman Brothers Venture Partners LP
Sequoia Capital Operations LLC
Greylock Partners LLC
Greylock Partners LLC
Globespan Capital Partners
Sequoia Capital Operations LLC
Greylock Partners LLC
Sequoia Capital Operations LLC
Northgate Capital LLC
Icon Ventures
Greylock Partners LLC
Sequoia Capital Operations LLC
Icon Ventures
Northgate Capital LLC
Globespan Capital Partners
Globespan Capital Partners
Lehman Brothers Venture Partners LP
Greylock Partners LLC
Sequoia Capital Operations LLC",Morgan Stanley,1,64400.20,NA,112.698,128.28,69.14,113.21,6.16,0.048019956,0,299.10,0.00%,0.014959462,15.45,0.276153846,33.18
39,5/31/12,7/25/12,E2open Inc,Pvd software solution,United States,EOPN,70.31,70.30,15.00,Common Shares,Yes,"Crossmark Capital
Undisclosed Firm
Undisclosed Firm
Insight Venture Management LLC
Insight Venture Management LLC
Crosspoint Venture Partners 2001 LP
JK&B Capital LLC
Insight Venture Management LLC
Undisclosed Firm
Insight Venture Management LLC
Crosspoint Venture Partners 2001 LP
Crossmark Capital
Insight Venture Management LLC
Insight Venture Management LLC
Undisclosed Firm
GENERAL ATOM(TOSHIBA CORP)
Undisclosed Firm
International Business Machines Corp
Matsushita Electric Corp Of America
LG Electronics Inc
Nortel Networks Corp
Alcatel-Lucent Ventures
Crossmark Capital
Seagate Technology LLC
Crosspoint Venture Partners 2001 LP
Hitachi America Ltd
Crossmark Capital
Crosspoint Venture Partners 2001 LP
Undisclosed Firm
JK&B Capital LLC
Crosspoint Venture Partners 2001 LP
Invesco Private Capital Inc
Seagate Technology LLC
Undisclosed Firm
Undisclosed Firm
Insight Venture Management LLC",Bank of America,0,389649.90,NA,44.377,55.523,12.76,29.28,6.64,0.11959008,1.67,29.70,5.62%,0.020103563,19.34,-0.093333333,13.6
40,6/30/12,8/2/12,Globus Medical Inc,"Mnfr medical device,instrument",United States,GMED,100.00,100.00,12.00,Class A Shares,Yes,"Undisclosed Firm
Goldman Sachs & Co LLC
Goldman Sachs & Co LLC
Sunamerica Ventures
Goldman Sachs & Co LLC
Undisclosed Firm
Blackstone Life Sciences
Goldman Sachs & Co LLC
Undisclosed Firm",Bank of America,3,110000.00,NA,288.195,331.48,NA,165.32,60.78,0.183359479,0,367.30,0.00%,-0.005603704,17.57,0.125,13.5
41,9/30/12,10/2/12,LifeLock Inc,Dvlp Internet software,United States,LOCK,141.30,141.30,9.00,Common Shares,Yes,"Bessemer Venture Partners
Undisclosed Firm
Kleiner Perkins
Bessemer Venture Partners
Kleiner Perkins
Bessemer Venture Partners
Biltmore Ventures, L.P.
Kleiner Perkins
Goldman Sachs & Co LLC
Kleiner Perkins
Cross Creek Capital LP
Goldman Sachs & Co LLC
Industry Ventures LLC
Bessemer Venture Partners
Kleiner Perkins
Bessemer Venture Partners
Undisclosed Firm
Bessemer Venture Partners
Great Hill Equity Partners LLC
Oracle America Inc
Bessemer Venture Partners
Kleiner Perkins
NortonLifeLock Inc
Institutional Venture Partners
Crossroads Liquidating Trust
Undisclosed Firm
Undisclosed Firm
Bessemer Venture Partners",Goldman Sachs,2,213060.90,NA,162.279,193.95,91.22,126.48,-4.26,-0.021964424,49.8,284.10,17.53%,0.024604701,15.71,-0.038888889,8.65
42,9/30/12,11/15/12,Ruckus Wireless Inc,"Mnfr,whl Wi-Fi products",United States,RKUS,126.00,126.00,15.00,Common Shares,Yes,"Undisclosed Firm
Mitsui & Co. Global Investment, Ltd.
Sequoia Capital Operations LLC
WK Technology Fund
Motorola Mobility Ventures
Motorola Mobility Ventures
CROPS Inc (Pre-Reincorporation)
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
WK Technology Fund
Sequoia Capital Operations LLC
Investor Growth Capital Inc
Sutter Hill Ventures
Mobile Internet Capital Inc
Sequoia Capital Operations LLC
TELUS Ventures
Firelake Capital Management LLC
Meritech Capital Partners
Singtel Ventures (Singapore) Pte Ltd
Motorola Mobility Ventures
Motorola Mobility Ventures
Undisclosed Firm
Sequoia Capital Operations LLC
Investor Growth Capital AB
Investor Growth Capital AB
Sutter Hill Ventures
Sutter Hill Ventures
Sequoia Capital Operations LLC
T Telematik Vntre Holding GmbH
T Telematik Vntre Holding GmbH
WK Technology Fund
WK Technology Fund",Goldman Sachs,1,74784.70,NA,75.489,120.02,32.66,66.08,4.19,0.034910848,0,123.10,0.00%,-0.067610255,17.99,-0.183333333,12.25
43,9/30/12,12/12/12,SolarCity Corp,Pvd solar installation svcs,United States,SCTY,92.00,92.00,8.00,Common Shares,Yes,"Soros Strategic Partners LP
Mayfield Fund LLC
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
DBL Partners
Generation Investment Management LLP
Draper Fisher Jurvetson International Inc
Undisclosed Firm
DBL Partners
Undisclosed Firm
Mayfield Fund LLC
Generation Investment Management LLP
Draper Fisher Jurvetson International Inc
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Generation Investment Management LLP
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
DBL Partners
Undisclosed Firm
Silver Lake Partners LP
Silver Lake Partners LP
Valor Equity Parters L P
DBL Partners
Undisclosed Firm
Undisclosed Firm
J. F. Shea Co Inc
Undisclosed Firm
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Pliant Corp",Goldman Sachs,2,638284.00,NA,9.684,23.145,42.004,73.668,-73.714,-3.184877943,22.803,1043.38,2.19%,0.037896802,15.95,0.47375,11.79
44,3/31/13,5/16/13,Tableau Software Inc,Develop prepackaged software,United States,DATA,254.20,254.20,31.00,Class A Shares,Yes,"Vista Equity Partners LLC
Vista Equity Partners LLC
InterWest Partners LLC
InterWest Partners LLC
InterWest Partners LLC
Storm Ventures LLC
InterWest Partners LLC
Undisclosed Firm
InterWest Partners LLC
InterWest Partners LLC
InterWest Partners LLC
Mayfield Fund LLC
Mayfield Fund LLC
Mayfield Fund LLC
Mayfield Fund LLC
Undisclosed Firm
Battery Ventures LP
Institutional Venture Partners
Institutional Venture Partners
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Battery Ventures LP
Battery Ventures LP
Storm Ventures LLC
Storm Ventures LLC
Vista Equity Partners LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Institutional Venture Partners
Institutional Venture Partners
Sunbridge Partners Inc
Sunbridge Partners Inc
Battery Ventures LP",Goldman Sachs,1,962687.00,NA,62.36,127.733,63.322,112.84,1.598,0.012510471,0,86.99,0.00%,0.050377942,13.07,0.637096774,50.75
45,3/31/13,5/16/13,Marketo Inc,Dvlp Internet software,United States,MKTO,78.80,78.80,13.00,Common Shares,Yes,"New Enterprise Associates Inc
New Enterprise Associates Inc
Meritech Capital Partners
Undisclosed Firm",Goldman Sachs,1,20080.00,NA,32.392,58.413,37.776,67.963,-34.385,-0.588653211,3.64,79.16,4.60%,0.050377942,13.07,0.776923077,23.1
46,6/30/13,7/18/13,RetailMeNot Inc,Provide ecommerce services,United States,SALE,190.91,190.90,21.00,Common Shares,Yes,"Avp Management Services Inc
Avp Management Services Inc
Adams Street Partners LLC
Adams Street Partners LLC
Institutional Venture Partners
Adams Street Partners LLC
Institutional Venture Partners
Norwest Venture Partners
JP Morgan Investment Management Inc
GV Management Co LLC
GV Management Co LLC
Avp Management Services Inc
Norwest Venture Partners
Avp Management Services Inc
GV Management Co LLC
JP Morgan Investment Management Inc
Adams Street Partners LLC
Undisclosed Firm
Avp Management Services Inc
Avp Management Services Inc
Norwest Venture Partners
Norwest Venture Partners
Adams Street Partners LLC
Adams Street Partners LLC
Adams Street Partners LLC
Undisclosed Firm
Undisclosed Firm
Adams Street Partners LLC
Adams Street Partners LLC",Morgan Stanley,2,266249.80,NA,80.402,144.69,40.67,99.19,25.99,0.179625406,37.85,379.30,9.98%,0.01888494,13.77,0.319047667,27.700001
47,6/30/13,8/1/13,Control4 Corp,Mnfr wired automation prods,United States,CTRL,64.00,64.00,16.00,Common Shares,Yes,"Thomas Weisel Venture Partners LLC
Foundation Capital LLC
Foundation Capital LLC
Foundation Capital LLC
Foundation Capital LLC
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Partners Group Inc
Undisclosed Firm
Mercato Management LLC
University Venture Fund
Foundation Capital LLC
Undisclosed Firm
Thomas Weisel Venture Partners LLC
Signal Peak Ventures
Sapphire Ventures LLC
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Cisco Systems Inc
Undisclosed Firm
Signal Peak Ventures",Bank of America,1,122424.90,NA,93.376,109.51,20.18,53.51,-3.72,-0.033969501,3.16,53.30,5.93%,0.058619171,12.94,0.25,20
48,6/30/13,8/6/13,YuMe Inc,Pvd video advg tech services,United States,YUME,46.13,46.10,9.00,Common Shares,Yes,"Samsung Venture Investment Corp
Translink Capital LLC
Menlo Ventures
Samsung Venture Investment Corp
Duff Ackerman & Goodrich LLC
BV Venture Capital Investors VCI
Khosla Ventures LLC
Samsung Venture Investment Corp
Intel Capital Corp
Menlo Ventures
Translink Capital LLC
Intel Capital Corp
Translink Capital LLC
Accel Partners & Co Inc
WestSummit Capital Management Ltd
Khosla Ventures LLC
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
e.ventures
Menlo Ventures
Duff Ackerman & Goodrich LLC
Intel Capital Corp
Duff Ackerman & Goodrich LLC
e.ventures
Accel Partners & Co Inc
e.ventures
e.ventures
Khosla Ventures LLC
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
Khosla Ventures LLC
Khosla Ventures LLC
Accel Partners & Co Inc
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
e.ventures
Khosla Ventures LLC
Menlo Ventures
e.ventures
Khosla Ventures LLC
Accel Partners & Co Inc",Citigroup,1,60465.10,NA,68.565,116.74,31.39,46.62,6.27,0.053709097,0,83.20,0.00%,0.035254645,12.72,0.09,9.81
49,6/30/13,9/19/13,FireEye Inc,"Dvlp firewall,anti virus",United States,FEYE,303.50,303.50,20.00,Common Shares,Yes,"Norwest Venture Partners
Sequoia Capital Operations LLC
Norwest Venture Partners
Sequoia Capital Operations LLC
In Q Tel Inc
Norwest Venture Partners
Juniper Networks Inc
Norwest Venture Partners
Sequoia Capital Operations LLC
Silicon Valley Bancventures LP
Goldman Sachs & Co LLC
Goldman Sachs & Co LLC
Norwest Venture Partners
Sequoia Capital Operations LLC
Silicon Valley Bancventures LP
Juniper Networks Inc
Icon Ventures
Four Rivers Partners LP
Sequoia Capital Operations LLC
Norwest Venture Partners
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Norwest Venture Partners
Icon Ventures
Norwest Venture Partners
Duff Ackerman & Goodrich LLC
Icon Ventures
Sequoia Capital Operations LLC
Duff Ackerman & Goodrich LLC
Silicon Valley Bancventures LP
Undisclosed Firm
Sequoia Capital Operations LLC",Morgan Stanley,3,880832.50,NA,33.658,83.316,67.562,99.305,-35.756,-0.429161266,1.231,125.27,0.98%,0.043362682,13.16,0.8,36
50,9/30/13,11/6/13,Twitter Inc,Pvd social networking svcs,United States,TWTR,1820.00,1820.00,26.00,Common Shares,Yes,Emergence Capital Partners LLC,Goldman Sachs,2,4000.00,NA,106.313,316.933,86.551,594.016,-79.399,-0.250522981,0,964.06,0.00%,0.058173597,12.67,0.728461538,44.94
51,9/30/13,11/12/13,Chegg Inc,Internet Service Providers,United States,CHGG,187.50,187.50,12.50,Common Shares,Yes,"Undisclosed Firm
Mail.Ru Group Ltd
Spark Capital LP
Union Square Ventures LLC
Union Square Ventures LLC
Bezos Expeditions
Bezos Expeditions
Institutional Venture Partners
Spark Capital LP
Spark Capital LP
Institutional Venture Partners
Institutional Venture Partners
Institutional Venture Partners
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Union Square Ventures LLC
Undisclosed Firm
Benchmark Capital
Benchmark Capital
Benchmark Capital
Undisclosed Firm
Undisclosed Firm
Benchmark Capital
Elliott Management Corp
Kleiner Perkins
Kleiner Perkins
Union Square Ventures LLC
Spark Capital LP
Bezos Expeditions
Undisclosed Firm
Union Square Ventures LLC
Undisclosed Firm
Spark Capital LP
Union Square Ventures LLC
Charles River Ventures LLC
Spark Capital LP
Crossmark Capital
Rizvi Traverse Management LLC
Crossmark Capital
Crossmark Capital
Benchmark Capital
Union Square Ventures LLC
Undisclosed Firm
Andreessen Horowitz LLC
Union Square Ventures LLC
Union Square Ventures LLC
Spark Capital LP
Benchmark Capital
Mail.Ru Group Ltd
Undisclosed Firm
Insight Venture Management LLC
Insight Venture Management LLC
Insight Venture Management LLC
Undisclosed Firm
Undisclosed Firm
Kleiner Perkins
Undisclosed Firm",JP Morgan,1,2144813.50,NA,172.018,213.334,51.082,112.92,-49.043,-0.229888344,0,188.08,0.00%,0.035217064,12.82,-0.2696,9.13
52,9/30/13,2/13/14,Inogen Inc,Mnfr respiratory equipment,United States,INGN,70.59,70.60,16.00,Common Shares,Yes,"Foundation Capital LLC
Foundation Capital LLC
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Lucas Venture Group
Gabriel Venture Partners
Insight Venture Management LLC
Insight Venture Management LLC
Insight Venture Management LLC
Gabriel Venture Partners
Gabriel Venture Partners
Gabriel Venture Partners
Primera Capital
Primera Capital
Primera Capital
Floodgate Fund LP
Floodgate Fund LP
Foundation Capital LLC
Kleiner Perkins
Insight Venture Management LLC
Gabriel Venture Partners
Undisclosed Firm
Gabriel Venture Partners
Undisclosed Firm
Gabriel Venture Partners
Floodgate Fund LP
Undisclosed Firm
Primera Capital
Kleiner Perkins
Gabriel Venture Partners
Insight Venture Management LLC
Undisclosed Firm
Insight Venture Management LLC
Kleiner Perkins
Gabriel Venture Partners
Undisclosed Firm
Kleiner Perkins
Kleiner Perkins
Kleiner Perkins
Kleiner Perkins
Kleiner Perkins
Millennium TVP Management Co LLC
Undisclosed Firm",JP Morgan,0,238015.50,NA,30.634,48.58,NA,23.12,0.56,0.011527378,6.65,60.90,10.92%,-0.003593418,14.14,-0.053125,15.15
53,3/31/14,4/3/14,GrubHub Inc,Pvd online food delivery svcs,United States,GRUB,192.55,192.50,26.00,Common Shares,Yes,"Accuitive Medical Ventures LLC
Versant Venture Management LLC
Arboretum Ventures Inc
Undisclosed Firm
Novo Holdings A/S
Arboretum Ventures Inc
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Avalon Ventures, LLC
Accuitive Medical Ventures LLC
Arboretum Ventures Inc
Novo Holdings A/S
Novo Holdings A/S
Versant Venture Management LLC
Versant Venture Management LLC
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Avalon Ventures, LLC
Arboretum Ventures Inc
Novo Holdings A/S
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Versant Venture Management LLC
Undisclosed Firm
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Versant Venture Management LLC
Novo Holdings A/S
Avalon Ventures, LLC
Arboretum Ventures Inc
Versant Venture Management LLC
Novo Holdings A/S
Versant Venture Management LLC
Accuitive Medical Ventures LLC
Arboretum Ventures Inc",Citigroup,1,80833.40,NA,82.299,137.1,37.35,122.25,6.75,0.049234136,1.35,795.70,0.17%,0.005597628,13.37,0.307692308,34
54,3/31/14,4/3/14,Opower Inc,Software Publishers,United States,OPWR,115.90,115.90,19.00,Common Shares,Yes,"T. Rowe Price Threshold Partnerships
Greenspring Associates Inc
Amicus Capital LLC
Amicus Capital LLC
Origin Ventures LLC
Undisclosed Firm
Origin Ventures LLC
Origin Ventures LLC
Mesirow Financial Private Equity Inc
Lightspeed Management Company LLC
Duff Ackerman & Goodrich LLC
Duff Ackerman & Goodrich LLC
Leo Capital Holdings LLC
Leo Capital Holdings LLC
Benchmark Capital
Benchmark Capital
Benchmark Capital
Amicus Capital LLC",Morgan Stanley,1,87377.10,NA,51.756,88.703,30.551,71.216,-14.161,-0.159645108,3.673,63.14,5.82%,0.005597628,13.37,0.210526316,23
55,3/31/14,5/14/14,Zendesk Inc,Software Publishers,United States,ZEN,100.00,100.00,9.00,Common Shares,Yes,"New Enterprise Associates Inc
MHS Capital Management LLC
Accel Partners & Co Inc
Kleiner Perkins
New Enterprise Associates Inc",Goldman Sachs,2,65545.00,NA,38.228,72.045,37.622,69.347,-22.571,-0.313290305,23.396,92.74,25.23%,0.033453569,12.17,0.694444444,15.25
56,3/31/14,6/25/14,GoPro Inc,Photographic and Photocopying Equipment Manufacturing,United States,GPRO,427.20,427.20,24.00,Class A Shares,Yes,"Institutional Venture Partners
Matrix Partners LP
Benchmark Capital
Charles River Ventures LLC
GGV Capital
Benchmark Capital
Charles River Ventures LLC
Charles River Ventures LLC
Redpoint Ventures
Goldman Sachs & Co LLC
Benchmark Capital
Silicon Valley Bancventures LP
Charles River Ventures LLC
GGV Capital
Index Ventures SA
Matrix Partners LP",JP Morgan,2,69999.90,NA,526.016,985.74,157.77,263.08,60.58,0.061456368,53.32,354.00,15.06%,0.02119882,11.59,0.305833333,31.34
57,9/30/14,10/9/14,HubSpot Inc,Software Reproducing,United States,HUBS,125.00,125.00,25.00,Common Shares,Yes,"General Catalyst Partners LLC
Matrix Partners LP
Scale Venture Partners
Charles River Ventures LLC
Cross Creek Capital LP
Undisclosed Firm
Sequoia Capital Operations LLC
GV Management Co LLC
Undisclosed Firm
GV Management Co LLC
Undisclosed Firm
General Catalyst Partners LLC
General Catalyst Partners LLC
Scale Venture Partners
Scale Venture Partners
Matrix Partners LP
Matrix Partners LP
General Catalyst Partners LLC
Scale Venture Partners
General Catalyst Partners LLC
GV Management Co LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Matrix Partners LP
Undisclosed Firm
General Catalyst Partners LLC
Sequoia Capital Operations LLC
GV Management Co LLC
Undisclosed Firm",Morgan Stanley,2,101830.90,NA,51.604,77.634,53.158,82.845,-34.274,-0.441481825,0,50.56,0.00%,-0.03301225,18.76,0.16199996,29.049999
58,9/30/14,12/11/14,Hortonworks Inc,Develop prepackaged software,United States,HDP,100.00,100.00,16.00,Common Shares,Yes,"HarbourVest Partners LLC
HarbourVest Partners LLC
Battery Ventures LP
Battery Ventures LP
Spark Capital LP
Spark Capital LP
T. Rowe Price Threshold Partnerships
Undisclosed Firm
Undisclosed Firm
Great Hill Equity Partners LLC
Great Hill Equity Partners LLC
HarbourVest Partners LLC
Great Hill Equity Partners LLC",Goldman Sachs,2,277485.90,NA,1.646,10.998,17.187,36.855,-19.711,-1.792234952,0,160.36,0.00%,4.90E-05,20.08,0.648749938,26.379999
59,,1/22/15,Box Inc,Software Publishers,United States,BOX,175.00,175.00,14.00,Class A Shares,Yes,"Undisclosed Firm
Benchmark Capital
Undisclosed Firm
Passport Capital LLC
BlackRock Inc
Undisclosed Firm
Benchmark Capital
Index Ventures SA
Undisclosed Firm
Lehman Brothers Venture Partners LP
Undisclosed Firm
Undisclosed Firm
Lehman Brothers Venture Partners LP
Undisclosed Firm
Index Ventures SA
Benchmark Capital
Undisclosed Firm
Index Ventures SA",Morgan Stanley,2,231088.00,NA,58.797,124.19,171.19,257,-168.56,-1.357275143,34,235.49,14.44%,-0.007942209,16.4,0.659285714,23.23
60,12/31/14,3/5/15,MaxPoint Interactive Inc,Custom Computer Programming Services,United States,MXPT,74.75,74.80,11.50,Common Shares,Yes,"U.S. Venture Partners
Draper Fisher Jurvetson International Inc
Bessemer Venture Partners
Draper Fisher Jurvetson International Inc
Social+Capital Partnership
Mail.Ru Group Ltd
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Itochu Technology Inc
Undisclosed Firm
Telstra Corporation Ltd
U.S. Venture Partners
Scale Venture Partners
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
Scale Venture Partners
U.S. Venture Partners
General Atlantic LLC
Undisclosed Firm
U.S. Venture Partners
Scale Venture Partners
Draper Fisher Jurvetson International Inc
General Atlantic LLC
U.S. Venture Partners
Draper Fisher Jurvetson International Inc
New Enterprise Associates Inc
Sapphire Ventures LLC
Undisclosed Firm
Bessemer Venture Partners
Andreessen Horowitz LLC
Hercules Capital Inc
Draper Fisher Jurvetson International Inc
General Atlantic LLC
Scale Venture Partners
U.S. Venture Partners
Draper Fisher Jurvetson International Inc
U.S. Venture Partners
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
Social+Capital Partnership
Scale Venture Partners
Sapphire Ventures LLC
New Enterprise Associates Inc
Draper Fisher Jurvetson International Inc
Bessemer Venture Partners
Undisclosed Firm
Bessemer Venture Partners
Andreessen Horowitz LLC
Scale Venture Partners
Emergence Capital Partners LLC
Meritech Capital Partners
Draper Fisher Jurvetson International Inc
U.S. Venture Partners
Tarrant Capital IP LLC
Undisclosed Firm
Draper Fisher Jurvetson International Inc",Goldman Sachs,2,564032.40,NA,35.057,66.07,20.48,34.36,-0.19,-0.002875738,17.76,73.70,24.10%,0.027436102,14.04,-0.148695652,9.79
61,12/31/14,3/25/15,Solaredge Tech Inc,Pvd photovoltaic solutions svc,United States,SEDG,126.00,126.00,18.00,Common Shares,Yes,"Trinity Ventures LLP
Madrona Venture Group
Trinity Ventures LLP
Trinity Ventures LLP",Goldman Sachs,1,14750.00,NA,79.035,133.22,17.79,40.34,-21.38,-0.160486413,4.68,133.30,3.51%,-0.025803758,15.44,0.150000056,20.700001
