"","Date.of.Finan..cial.Period.Before.Offer","Issue.Date","Day.of.Week","Issuer","Business.Description","Nation","Ticker.Symbol","Primary.Exchange.Where.Issuer.s.Stock.Trades","Principal.Amount....mil.","Proceeds.Amt...in..this.Mkt....mil.","X...Offer....Price","Type.of.Security","Amt.Filed....in.this.Mkt.....mil.","IPO.Flag..Y.N.","VC.Lead..Seed.","Investment.Bank..Lead.Left.","X..of.additional.lead.underwriters","Last.Private.Valuation","Total.VC.Funding.Raised","Age.of.Firm","Total.Revenues.in.Previous.Year","Total.Revenues.Last.Reported.Fiscal.Period.in.S.1..US..mil.","Selling.and.Marketing","Total.Operating.Expenses","Net.Income","Net.Income.Margin","Long.Term.Debt","X..Total...Assets...Before....the..Offering......mil.","Long.Term.Debt.to.Total.Asset.Ratio","Market.Value.Before.Offer....mil.","X.Market..Value...Pro..Forma..Offer....mil.","X...Book...Value....Per...Share","IPO..Offer.Date","IPO.Flag..Y.N..1","X..Change.Stock.Price.180.Days.After.Offer","X..Stock...Price..180.Days...After...Offer","Initial.Day.Price...Day","market_performance","VIX_before"
"69","","7/27/17",NA,"Redfin Corp","Other Real Estate Services","United States","RDFN","Nasdaq","138.465",138.5,15,"Common Shares","","Yes",NA,"Goldman Sachs",1,NA,NA,NA,NA,267.196,"28.571",105.528,-22.526,"-8.43%",0,"116.907","0.00%","1,054.60","1,213.80",NA,"7/27/17","Yes",47.47,22.12,NA,0.0243235194602948,10.11
"70","9/30/17","10/11/17",NA,"Cargurus Inc","Data Processing, Hosting, and Related Services","United States","CARG","Nasdaq","150.4",150.4,16,"Class A Shares","131.6","Yes",NA,"Goldman Sachs",2,NA,NA,NA,NA,171.302,"154.125",179.997,6.497,"3.79%",0,"121.3","0.00%","1,194.30","1,256.90",1.62,"10/11/17","Yes",137.88,38.06,NA,0.0233136585081032,9.85
"71","7/31/17","10/18/17",NA,"MongoDB","Software Reproducing","United States","MDB","Nasdaq","192",192,24,"Class A Shares","","Yes",NA,"Morgan Stanley",3,NA,NA,NA,NA,101.358,"78.584",157.438,-86.681,"-85.52%",0,"157.8","0.00%","1.6","222.4",NA,"10/18/17","Yes",59.791,38.35,NA,0.0240269100431407,10.07
"72","9/30/17","11/9/17",NA,"Bandwidth Inc","Internet Service Providers","United States","BAND","Nasdaq","80",80,20,"Class A Shares","","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,152.125,"9.294",51.673,25.358,"16.67%",37.674,"63.3","59.52%","80.7","160.7",9.55,"11/9/17","Yes",71.05,34.21,NA,0.0139424164233449,10.5
"73","6/30/17","11/14/17",NA,"SendGrid Inc","Software Publishers","United States","SEND","New York","131.2",131.2,16,"Common Shares","","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,79.929,"21.8",61.925,-3.908,"-4.89%",0,"73.4","0.00%","521.5","672.3",NA,"11/14/17","Yes",63.75,26.2,NA,0.00955782861414384,11.59
"74","7/29/17","11/16/17",NA,"Stitch Fix Inc","Mail-Order Houses","United States","SFIX","Nasdaq","120",120,15,"Class A Shares","","Yes",NA,"Goldman Sachs",1,NA,NA,NA,NA,977.139,"?",402.781,-0.594,"-0.06%",0,"237.2","0.00%","1,311.20","1,449.20",NA,"11/16/17","Yes",39.47,20.92,NA,0.0123301913636428,11.76
"75","9/30/17","12/14/17",NA,"Casa Systems Inc","Mnfr cable edge devices","United States","CASA","Nasdaq","78",78,13,"Common Shares","","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,316.128,"36.114",103.539,88.668,"28.05%",557.529,"372.4","149.71%","87.7","177.4",NA,"12/14/17","Yes",41.307,18.37,NA,0.0307686053681968,10.49
"76","9/30/17","2/9/18",NA,"Cardlytics Inc","Provide marketing services","United States","CDLX","Nasdaq","70.2",70.2,13,"Common Shares","","Yes",NA,"Bank of America",1,NA,NA,NA,NA,112.821,"31.261",169.053,-75.696,"-67.09%",111.8,"93.4","119.70%","183.6","259.2",NA,"2/9/18","Yes",44.769,18.82,NA,-0.0460382140310488,29.059999
"77","3/31/18","4/25/18",NA,"nLIGHT Inc","Semiconductor and Related Device Manufacturing","United States","LASR","Nasdaq","96",96,16,"Common Shares","","Yes",NA,"Stifel",1,NA,NA,NA,NA,138.58,"?",34.476,1.837,"1.33%",15.108,"116.2","13.00%","2,209.70","2,305.70",1.18,"4/25/18","Yes",12.5,18,NA,-0.00558251323502588,17.84
"78","1/31/18","4/26/18",NA,"DocuSign Inc","Develop Internet software","United States","DOCU","Nasdaq","629.3",629.3,29,"Common Shares","","Yes",NA,"Morgan Stanley",1,NA,NA,NA,NA,381.549,"240.787",394.799,-115.412,"-30.25%",0,"620","0.00%","3,945.40","4,505.60",NA,"4/26/18","Yes",35.07,39.17,NA,0.0219109434709683,16.24
"79","3/31/18","8/1/18",NA,"Sonos Inc","Dvlp digital music software","United States","SONO","Nasdaq","208.333",208.3,15,"Common Shares","","Yes",NA,"Morgan Stanley",2,NA,NA,NA,NA,992.526,"270.162",471.674,-38.214,"-3.85%",39.657,"350.7","11.31%","1,392.40","1,507.00",NA,"8/1/18","Yes",-25.333,11.2,NA,0.0331052766003794,13.15
"80","1/31/19","4/17/19",NA,"Zoom Video Communications Inc","Software Publishers","United States","ZM","Nasdaq","751.304",751.3,36,"Class A Shares","","Yes",NA,"Morgan Stanley",3,NA,NA,NA,NA,330.517,"185.821",263.349,7.584,"2.29%",0,"354.6","0.00%","","",NA,"4/17/19","Yes",97.53,71.11,NA,0.0252188053973877,12.6
